"INSEE CONSOLIDE";"THESAURUS AVEC AJOUTS";"PCS";"PROPOSITIONS CORRECTIONS";;;
"gérant d'exploitation horticole";"HORTICULTEUR";"10A2";;;;
"gérant d'exploitation maraîchère";"MARAICHER";"10A2";;;;
"horticulteur";"HORTICULTEUR";"10A2";;;;
"maraîcher";"MARAICHER";"10A2";;;;
"pépiniériste";"PEPINIERISTE";"10A2";;;;
"primeur (producteur)";"MARAICHER";"10A2";;;;
"producteur de fleurs";"HORTICULTEUR";"10A2";;;;
"producteur de légumes";"MARAICHER";"10A2";;;;
"producteur de plants";"PEPINIERISTE";"10A2";;;;
"agriculteur en arboriculture";"ARBORICULTEUR";"10A3";;;;
"agriculteur en viticulture";"VITICULTEUR";"10A3";;;;
"agrumiculteur";"ARBORICULTEUR";"10A3";;;;
"aide familial d'exploitant agricole en arboriculture";"ARBORICULTEUR";"10A3";;;;
"aide familial d'exploitant agricole en viticulture";"VITICULTEUR";"10A3";;;;
"arboriculteur";"ARBORICULTEUR";"10A3";;;;
"exploitant agricole en arboriculture";"ARBORICULTEUR";"10A3";;;;
"exploitant agricole en viticulture";"VITICULTEUR";"10A3";;;;
"exploitant viticole";"VITICULTEUR";"10A3";;;;
"gérant d'exploitation arboricole";"ARBORICULTEUR";"10A3";;;;
"gérant d'exploitation viticole";"VITICULTEUR";"10A3";;;;
"oléiculteur";"ARBORICULTEUR";"10A3";;;;
"pomiculteur";"ARBORICULTEUR";"10A3";;;;
"producteur de fraises";"ARBORICULTEUR";"10A3";;;;
"producteur de fruits";"ARBORICULTEUR";"10A3";;;;
"producteur de petits fruits";"ARBORICULTEUR";"10A3";;;;
"propriétaire-récoltant";"VITICULTEUR";"10A3";;;;
"vigneron";"VITICULTEUR";"10A3";;;;
"viticulteur";"VITICULTEUR";"10A3";;;;
"agriculteur éleveur bovins";"ELEVEUR";"10A4";;;;
"aide familial d'éleveur bovin";"ELEVEUR";"10A4";;;;
"éleveur de bovins";"ELEVEUR";"10A4";;;;
"éleveur de vaches allaitantes";"ELEVEUR";"10A4";;;;
"éleveur de vaches laitières";"ELEVEUR";"10A4";;;;
"exploitant agricole éleveur bovins";"ELEVEUR";"10A4";;;;
"producteur de lait de vache";"ELEVEUR";"10A4";;;;
"vituliculteur";"ELEVEUR";"10A4";;;;
"agriculteur éleveur caprins";"ELEVEUR";"10A5";;;;
"agriculteur éleveur équins";"ELEVEUR";"10A5";;;;
"agriculteur éleveur ovins";"ELEVEUR";"10A5";;;;
"aide familial d'éleveur ovin/caprin";"ELEVEUR";"10A5";;;;
"éleveur d'équidés";"ELEVEUR";"10A5";;;;
"éleveur d'ovins";"ELEVEUR";"10A5";;;;
"éleveur de caprins";"ELEVEUR";"10A5";;;;
"éleveur de chevaux";"ELEVEUR";"10A5";;;;
"éleveur de chèvres";"ELEVEUR";"10A5";;;;
"éleveur de moutons";"ELEVEUR";"10A5";;;;
"exploitant agricole éleveur caprins";"ELEVEUR";"10A5";;;;
"exploitant agricole éleveur équins";"ELEVEUR";"10A5";;;;
"exploitant agricole éleveur ovins";"ELEVEUR";"10A5";;;;
"producteur de lait de brebis";"ELEVEUR";"10A5";;;;
"producteur de lait de chèvres";"ELEVEUR";"10A5";;;;
"propriétaire de haras";"PROPRIETAIRE DE HARAS";"10A5";;;;
"agriculteur éleveur de volailles";"AVICULTEUR";"10A6";;;;
"agriculteur éleveur porcins";"ELEVEUR";"10A6";;;;
"aide familial d'éleveur de porcs";"ELEVEUR";"10A6";;;;
"aide familial d'éleveur de volailles";"AVICULTEUR";"10A6";;;;
"aviculteur";"AVICULTEUR";"10A6";;;;
"éleveur de gibiers";"ELEVEUR";"10A6";;;;
"éleveur de granivores";"ELEVEUR";"10A6";;;;
"éleveur de porcs";"ELEVEUR";"10A6";;;;
"éleveur de volailles";"AVICULTEUR";"10A6";;;;
"engraisseur de porcins";"ELEVEUR";"10A6";;;;
"exploitant agricole éleveur de porcs";"ELEVEUR";"10A6";;;;
"exploitant agricole éleveur de volailles";"AVICULTEUR";"10A6";;;;
"naisseur";"ELEVEUR";"10A6";;;;
"naisseur-engraisseur";"ELEVEUR";"10A6";;;;
"producteur de foie gras";"AVICULTEUR";"10A6";;;;
"agriculteur en polyculture-élevage";"ELEVEUR";"10A7";;;;
"aide familial d'exploitant agricole en polyculture-élevage";"ELEVEUR";"10A7";;;;
"apiculteur";"APICULTEUR";"10A7";;;;
"collecteur d'espèces sauvages";"AGRICULTEUR";"10A7";;;;
"cuniculiculteur";"ELEVEUR";"10A7";;;;
"éleveur canin";"ELEVEUR";"10A7";;;;
"éleveur d'animaux à fourrure";"ELEVEUR";"10A7";;;;
"éleveur d'animaux de compagnie";"ELEVEUR";"10A7";;;;
"éleveur d'insectes";"ELEVEUR";"10A7";;;;
"éleveur de chats";"ELEVEUR";"10A7";;;;
"éleveur de chiens";"ELEVEUR";"10A7";;;;
"exploitant agricole en polyculture-élevage";"ELEVEUR";"10A7";;;;
"héliciculteur";"ELEVEUR";"10A7";;;;
"lombriculteur";"ELEVEUR";"10A7";;;;
"sériciculteur";"ELEVEUR";"10A7";;;;
"artisan élagueur";"EXPLOITANT FORESTIER";"10B1";;;;
"entrepreneur de battage";"ENTREPRENEUR DES TERRITOIRES";"10B1";;;;
"entrepreneur de travaux agricoles";"ENTREPRENEUR DES TERRITOIRES";"10B1";;;;
"entrepreneur de travaux forestiers";"ENTREPRENEUR DES TERRITOIRES";"10B1";;;;
"entrepreneur de travaux ruraux";"ENTREPRENEUR DES TERRITOIRES";"10B1";;;;
"entrepreneur des territoires";"ENTREPRENEUR DES TERRITOIRES";"10B1";;;;
"exploitant forestier";"EXPLOITANT FORESTIER";"10B1";;;;
"forestier";"EXPLOITANT FORESTIER";"10B1";;;;
"sylviculteur";"SYLVICULTEUR";"10B1";;;;
"aquaculteur";"AQUACULTEUR";"10C1";;;;
"chasseur de coquillages";"PECHEUR";"10C1";;;;
"conchyliculteur";"CONCHYLICULTEUR";"10C1";;;;
"éleveur de poissons";"PISCICULTEUR";"10C1";;;;
"goémonier";"PECHEUR";"10C1";;;;
"ligneur";"PECHEUR";"10C1";;;;
"mytiliculteur";"MYTILICULTEUR";"10C1";;;;
"ostréiculteur";"OSTREICULTEUR";"10C1";;;;
"paludier ou saunier";"PALUDIER";"10C1";;;;
"patron pêcheur";"PATRON PECHEUR";"10C1";;;;
"pêcheur";"PECHEUR";"10C1";;;;
"pêcheur à pied";"PECHEUR";"10C1";;;;
"pêcheur de coquillages";"PECHEUR";"10C1";;;;
"pisciculteur";"PISCICULTEUR";"10C1";;;;
"plongeur sous-marin (pêche)";"PECHEUR";"10C1";;;;
"salmoniculteur";"PISCICULTEUR";"10C1";;;;
"artisan en parcs et jardins";"JARDINIER";"21A1";;;;
"artisan jardinier";"JARDINIER";"21A1";;;;
"artisan paysagiste";"PAYSAGISTE";"21A1";;;;
"entrepreneur espace vert";"PAYSAGISTE";"21A1";;;;
"entrepreneur paysagiste";"PAYSAGISTE";"21A1";;;;
"artisan maçon";"ENTREPRENEUR DU BATIMENT";"21B1";;;;
"chef d'entreprise de maçonnerie";"ENTREPRENEUR DU BATIMENT";"21B1";;;;
"entrepreneur en maçonnerie";"ENTREPRENEUR DU BATIMENT";"21B1";;;;
"gérant d'une entreprise de maçonnerie";"ENTREPRENEUR DU BATIMENT";"21B1";;;;
"artisan charpentier";"ENTREPRENEUR DU BATIMENT";"21B2";;;;
"artisan couvreur";"ENTREPRENEUR DU BATIMENT";"21B2";;;;
"artisan zingueur";"ENTREPRENEUR DU BATIMENT";"21B2";;;;
"agenceur de salles de bain";"MENUISIER";"21B3";;;;
"artisan menuisier du bâtiment";"MENUISIER";"21B3";;;;
"cuisiniste";"MONTEUR DE CUISINE";"21B3";;;;
"installateur de cuisines";"MONTEUR DE CUISINE";"21B3";;;;
"menuisier agenceur";"MENUISIER";"21B3";;;;
"artisan chauffagiste";"ENTREPRENEUR DU BATIMENT";"21B4";;;;
"artisan plombier";"ENTREPRENEUR DU BATIMENT";"21B4";;;;
"entrepreneur en plomberie, sanitaire";"ENTREPRENEUR DU BATIMENT";"21B4";;;;
"artisan électricien du bâtiment";"ELECTRICIEN";"21B5";;;;
"artisan carreleur";"ENTREPRENEUR DU BATIMENT";"21B6";;;;
"artisan peintre en bâtiment";"PEINTRE";"21B6";;;;
"artisan plâtrier";"ENTREPRENEUR DU BATIMENT";"21B6";;;;
"vitrier";"VITRIER";"21B6";;;;
"artisan du bâtiment";"ENTREPRENEUR DU BATIMENT";"21B7";;;;
"artisan du BTP";"ENTREPRENEUR DU BATIMENT";"21B7";;;;
"artisan en travaux publics";"ENTREPRENEUR DU BATIMENT";"21B7";;;;
"artisan en travaux VRD (voiries réseaux divers)";"ENTREPRENEUR DU BATIMENT";"21B7";;;;
"artisan terrassier";"TERRASSIER";"21B7";;;;
"chef d'entreprise du BTP";"ENTREPRENEUR DU BATIMENT";"21B7";;;;
"entrepreneur du bâtiment (tous corps d'État)";"ENTREPRENEUR DU BATIMENT";"21B7";;;;
"entrepreneur en aménagements urbains";"ENTREPRENEUR DU BATIMENT";"21B7";;;;
"entrepreneur en démolition";"ENTREPRENEUR DU BATIMENT";"21B7";;;;
"entrepreneur en terrassement et VRD (voiries réseaux divers)";"ENTREPRENEUR DU BATIMENT";"21B7";;;;
"artisan carrossier";"ARTISAN";"21C1";;;;
"artisan électroménager";"DEPANNEUR";"21C1";;;;
"artisan électronique";"DEPANNEUR";"21C1";;;;
"artisan machines agricoles";"DEPANNEUR";"21C1";;;;
"artisan mécanicien";"DEPANNEUR";"21C1";;;;
"artisan réparateur automobile";"GARAGISTE";"21C1";;;;
"dépanneur audiovisuel";"DEPANNEUR";"21C1";;;;
"dépanneur automobile";"DEPANNEUR";"21C1";;;;
"dépanneur électroménager";"DEPANNEUR";"21C1";;;;
"dépanneur informatique";"DEPANNEUR";"21C1";;;;
"garagiste";"GARAGISTE";"21C1";;;;
"garagiste de motocycles";"GARAGISTE";"21C1";;;;
"gérant de contrôle technique automobile";"GARAGISTE";"21C1";;;;
"gérant de garage automobile";"GARAGISTE";"21C1";;;;
"réparateur de cycles";"DEPANNEUR";"21C1";;;;
"réparateur TV";"DEPANNEUR";"21C1";;;;
"artisan chaudronnier";"ARTISAN";"21C2";;;;
"artisan du bois";"EBENISTE";"21C2";;;;
"artisan ébéniste";"EBENISTE";"21C2";;;;
"artisan maquettiste";"ARTISAN";"21C2";;;;
"artisan métallier";"ARTISAN";"21C2";;;;
"artisan scieur";"ARTISAN";"21C2";;;;
"artisan serrurier";"SERRURIER";"21C2";;;;
"céramiste";"CERAMISTE";"21C2";;;;
"charron";"ARTISAN";"21C2";;;;
"constructeur nautique";"ARTISAN";"21C2";;;;
"fabricant d'armes";"ARTISAN";"21C2";;;;
"fabricant d'articles de loisirs";"FABRICANT D'ARTICLES DE LOISIRS";"21C2";;;;
"fabricant d'articles ménagers";"FABRICANT D'ARTICLES MENAGERS";"21C2";;;;
"fabricant d'équipements automobiles";"ARTISAN";"21C2";;;;
"fabricant d'outils";"ARTISAN";"21C2";;;;
"fabricant de bateaux";"ARTISAN";"21C2";;;;
"fabricant de cycles";"ARTISAN";"21C2";;;;
"fabricant de meubles";"ARTISAN";"21C2";;;;
"fabricant de parquets";"ARTISAN";"21C2";;;;
"fabricant de produits de beauté";"FABRICANT DE PRODUITS DE BEAUTE";"21C2";;;;
"fabricant de produits du bâtiment";"FABRICANT DE PRODUITS DU BATIMENT";"21C2";;;;
"fabricant de serrures";"ARTISAN";"21C2";;;;
"maréchal-ferrant";"MARECHAL FERRANT";"21C2";;;;
"sabotier";"ARTISAN";"21C2";;;;
"shaper";"ARTISAN";"21C2";;;;
"vernisseur bois";"ARTISAN";"21C2";;;;
"artisan chapelier";"FABRICANT D'ARTICLES VESTIMENTAIRES";"21C3";;;;
"artisan couturier";"COUTURIER";"21C3";;;;
"artisan décorateur";"DECORATEUR";"21C3";;;;
"artisan en confection";"COUTURIER";"21C3";;;;
"artisan en cuir";"ARTISAN";"21C3";;;;
"artisan en peaux";"TANNEUR";"21C3";;;;
"artisan tapissier";"TAPISSIER";"21C3";;;;
"créateur de bijoux fantaisie";"ARTISAN";"21C3";;;;
"empailleur de chaises";"REMPAILLEUR DE CHAISES";"21C3";;;;
"fabricant de chaussures";"FABRICANT D'ARTICLES VESTIMENTAIRES";"21C3";;;;
"matelassier";"ARTISAN";"21C3";;;;
"rempailleur";"REMPAILLEUR DE CHAISES";"21C3";;;;
"réparateur de meubles";"EBENISTE";"21C3";;;;
"savonnier";"ARTISAN";"21C3";;;;
"tapissier d'ameublement";"TAPISSIER";"21C3";;;;
"tapissier décorateur";"TAPISSIER";"21C3";;;;
"vannier";"VANNIER";"21C3";;;;
"abat-jouriste";"ARTISAN";"21C4";;;;
"artisan bijoutier";"BIJOUTIER";"21C4";;;;
"artisan d'art";"ARTISAN";"21C4";;;;
"artisan dentellier";"ARTISAN";"21C4";;;;
"artisan joaillier";"JOAILLIER";"21C4";;;;
"artisan papetier";"ARTISAN";"21C4";;;;
"bijoutier";"BIJOUTIER";"21C4";;;;
"bijoutier joaillier";"BIJOUTIER";"21C4";;;;
"céramiste d'art";"CERAMISTE";"21C4";;;;
"ciseleur";"ARTISAN";"21C4";;;;
"coutelier d'art";"COUTELIER";"21C4";;;;
"créateur de bijoux précieux";"ARTISAN";"21C4";;;;
"créateur de figurines";"ARTISAN";"21C4";;;;
"créateur de papiers peints";"ARTISAN";"21C4";;;;
"dentelier";"ARTISAN";"21C4";;;;
"diamantaire";"DIAMANTAIRE";"21C4";;;;
"encadreur";"ARTISAN";"21C4";;;;
"herboriste";"HERBORISTE";"21C4";;;;
"horloger";"HORLOGER";"21C4";;;;
"horloger bijoutier";"HORLOGER BIJOUTIER";"21C4";;;;
"imprimeur d'art";"ARTISAN";"21C4";;;;
"luthier";"LUTHIER";"21C4";;;;
"maître verrier";"ARTISAN";"21C4";;;;
"marbrier d'art";"ARTISAN";"21C4";;;;
"miroitier d'art";"ARTISAN";"21C4";;;;
"mosaïste";"ARTISAN";"21C4";;;;
"orfèvre";"ORFEVRE";"21C4";;;;
"parfumeur-créateur";"ARTISAN";"21C4";;;;
"plumassier";"ARTISAN";"21C4";;;;
"relieur d'art";"ARTISAN";"21C4";;;;
"restaurateur d'instruments de musique";"ARTISAN";"21C4";;;;
"restaurateur de tableaux, dessins";"RESTAURATEUR D'ART";"21C4";;;;
"sérigraphe au cadre ou à la planche";"SERIGRAPHE";"21C4";;;;
"serrurier d'art";"ARTISAN";"21C4";;;;
"sertisseur";"ARTISAN";"21C4";;;;
"tapissier d'art";"ARTISAN";"21C4";;;;
"taxidermiste";"TAXIDERMISTE";"21C4";;;;
"verrier d'art";"ARTISAN";"21C4";;;;
"vitrailliste";"ARTISAN";"21C4";;;;
"chef d'entreprise de l'agroalimentaire";"FABRICANT DE PRODUITS ALIMENTAIRES";"21D0";;;;
"artisan charcutier";"CHARCUTIER";"21D1";;;;
"artisan fromager";"FABRICANT DE PRODUITS ALIMENTAIRES";"21D1";;;;
"gérant de boucherie, boucherie-charcuterie";"BOUCHER CHARCUTIER";"21D1";;;;
"oléifacteur";"FABRICANT DE PRODUITS ALIMENTAIRES";"21D1";;;;
"artisan boulanger";"BOULANGER";"21D2";;;;
"artisan chocolatier";"CHOCOLATIER";"21D2";;;;
"artisan glacier";"GLACIER";"21D2";;;;
"bouilleur de cru";"FABRICANT DE PRODUITS ALIMENTAIRES";"21D2";;;;
"cake designer";"FABRICANT DE PRODUITS ALIMENTAIRES";"21D2";;;;
"chocolatier";"CHOCOLATIER";"21D2";;;;
"chocolatier confiseur";"CHOCOLATIER CONFISEUR";"21D2";;;;
"cidriculteur";"FABRICANT DE PRODUITS ALIMENTAIRES";"21D2";;;;
"gérant de boulangerie, pâtisserie";"BOULANGER PATISSIER";"21D2";;;;
"artisan taxi";"CHAUFFEUR DE TAXI";"21E1";;;;
"bateau-taxi";"CHAUFFEUR DE TAXI";"21E1";;;;
"chauffeur de grande remise";"ENTREPRENEUR DU TRANSPORT INDIVIDUEL";"21E1";;;;
"chauffeur de taxi";"CHAUFFEUR DE TAXI";"21E1";;;;
"chauffeur VTC (voiture de transport avec chauffeur)";"ENTREPRENEUR DU TRANSPORT INDIVIDUEL";"21E1";;;;
"conducteur de taxi";"CHAUFFEUR DE TAXI";"21E1";;;;
"conducteur VTC (voiture de transport avec chauffeur)";"ENTREPRENEUR DU TRANSPORT INDIVIDUEL";"21E1";;;;
"moto-taxi";"CHAUFFEUR DE TAXI";"21E1";;;;
"taxi";"CHAUFFEUR DE TAXI";"21E1";;;;
"taxi ambulancier";"CHAUFFEUR DE TAXI";"21E1";;;;
"taxi fluvial";"CHAUFFEUR DE TAXI";"21E1";;;;
"tireur de pousse-pousse";"CHAUFFEUR DE TAXI";"21E1";;;;
"vélo-taxi";"CHAUFFEUR DE TAXI";"21E1";;;;
"artisan déménageur";"ENTREPRENEUR DE DEMENAGEMENT";"21E2";;;;
"artisan transporteur";"TRANSPORTEUR";"21E2";;;;
"autocariste";"TRANSPORTEUR";"21E2";;;;
"chef d'entreprise de transport";"TRANSPORTEUR";"21E2";;;;
"gérant de société d'autocar";"TRANSPORTEUR";"21E2";;;;
"gérant de société de transport";"TRANSPORTEUR";"21E2";;;;
"piroguier";"TRANSPORTEUR";"21E2";;;;
"transporteur aérien";"TRANSPORTEUR";"21E2";;;;
"transporteur de fonds";"TRANSPORTEUR DE FONDS";"21E2";;;;
"transporteur déménageur";"ENTREPRENEUR DE DEMENAGEMENT";"21E2";;;;
"transporteur fluvial";"TRANSPORTEUR";"21E2";;;;
"transporteur routier";"TRANSPORTEUR";"21E2";;;;
"artisan coiffeur";"ARTISAN DES SERVICES";"21E3";;;;
"coiffeur à domicile";"ARTISAN DES SERVICES";"21E3";;;;
"gérant de salon de coiffure";"ARTISAN DES SERVICES";"21E3";;;;
"poseur d'extension capillaire";"ARTISAN DES SERVICES";"21E3";;;;
"esthéticien à domicile";"ARTISAN DES SERVICES";"21E4";;;;
"gérant d'un institut de beauté";"ARTISAN DES SERVICES";"21E4";;;;
"gérant d'un institut de massage";"ARTISAN DES SERVICES";"21E4";;;;
"gérant de bains de vapeur (hammam, sauna)";"ARTISAN DES SERVICES";"21E4";;;;
"prothésiste ongulaire";"ARTISAN DES SERVICES";"21E4";;;;
"styliste ongulaire";"ARTISAN DES SERVICES";"21E4";;;;
"tatoueur";"ARTISAN DES SERVICES";"21E4";;;;
"visagiste en esthétique";"ARTISAN DES SERVICES";"21E4";;;;
"afficheur publicitaire";"AFFICHISTE";"21E5";;;;
"artisan de blanchisserie";"BLANCHISSEUR";"21E5";;;;
"artisan nettoyage";"ARTISAN DES SERVICES";"21E5";;;;
"artisan pressing";"BLANCHISSEUR";"21E5";;;;
"artisan teinturier";"TEINTURIER";"21E5";;;;
"chef d'entreprise du nettoyage";"ARTISAN DES SERVICES";"21E5";;;;
"chiffonnier";"FERRAILLEUR";"21E5";;;;
"exploitant de laverie automatique";"ARTISAN DES SERVICES";"21E5";;;;
"ferrailleur-récupérateur de métaux";"FERRAILLEUR";"21E5";;;;
"gérant d'une société de nettoyage";"ARTISAN DES SERVICES";"21E5";;;;
"gérant de blanchisserie";"BLANCHISSEUR";"21E5";;;;
"gérant de pressing";"BLANCHISSEUR";"21E5";;;;
"ramoneur";"RAMONEUR";"21E5";;;;
"récupérateur de métaux";"FERRAILLEUR";"21E5";;;;
"teinturier";"TEINTURIER";"21E5";;;;
"teinturier pressing";"TEINTURIER";"21E5";;;;
"toiletteur canin";"TOILETTEUR POUR CHIENS";"21E5";;;;
"toiletteur d'animaux";"ARTISAN DES SERVICES";"21E5";;;;
"commerçant de produits alimentaires";"COMMERCANT DE PRODUITS ALIMENTAIRES";"22A1";;;;
"commerçant de vins et spiritueux";"COMMERCANT DE PRODUITS ALIMENTAIRES";"22A1";;;;
"commerçant de volailles";"VOLAILLER";"22A1";;;;
"commerçant en alimentation";"COMMERCANT DE PRODUITS ALIMENTAIRES";"22A1";;;;
"commerçant en confiserie";"COMMERCANT DE PRODUITS ALIMENTAIRES";"22A1";;;;
"commerçant en grains";"COMMERCANT DE PRODUITS ALIMENTAIRES";"22A1";;;;
"commerçant en légumes";"COMMERCANT DE PRODUITS ALIMENTAIRES";"22A1";;;;
"commerçant en plants, semences";"COMMERCANT DE PRODUITS ALIMENTAIRES";"22A1";;;;
"commerçant en primeurs";"COMMERCANT DE PRODUITS ALIMENTAIRES";"22A1";;;;
"commerçant en produits laitiers";"COMMERCANT DE PRODUITS ALIMENTAIRES";"22A1";;;;
"commerçant en viande";"COMMERCANT DE PRODUITS ALIMENTAIRES";"22A1";;;;
"commerçant torréfacteur";"COMMERCANT DE PRODUITS ALIMENTAIRES";"22A1";;;;
"crémier fromager";"CREMIER FROMAGER";"22A1";;;;
"employé de la criée";"COMMERCANT DE PRODUITS ALIMENTAIRES";"22A1";;;;
"épicier";"EPICIER";"22A1";;;;
"étalier";"COMMERCANT DE PRODUITS ALIMENTAIRES";"22A1";;;;
"gérant de coopérative";"DIRECTEUR DE COOPERATIVE";"22A1";;;;
"gérant de grande surface";"GERANT DE MAGASIN";"22A1";;;;
"gérant de magasin d'alimentation";"GERANT DE MAGASIN";"22A1";;;;
"gérant de supérette";"GERANT DE MAGASIN";"22A1";;;;
"gérant de supermarché";"GERANT DE MAGASIN";"22A1";;;;
"gérant mandataire de commerce";"GERANT DE MAGASIN";"22A1";;;;
"marchand de fruits et légumes";"MARCHAND DES QUATRE SAISONS";"22A1";;;;
"poissonnier";"POISSONNIER";"22A1";;;;
"primeur (commerçant)";"COMMERCANT DE PRODUITS ALIMENTAIRES";"22A1";;;;
"bazardier";"BROCANTEUR";"22B1";;;;
"brocanteur";"BROCANTEUR";"22B1";;;;
"commerçant de bateaux";"COMMERCANT";"22B1";;;;
"commerçant de biens pour le foyer";"COMMERCANT";"22B1";;;;
"commerçant de linges de maison";"COMMERCANT";"22B1";;;;
"commerçant de luminaires";"COMMERCANT";"22B1";;;;
"commerçant de matériels électriques";"COMMERCANT";"22B1";;;;
"commerçant de matériels et logiciels informatiques";"COMMERCANT";"22B1";;;;
"commerçant de meubles";"MARCHAND DE MEUBLES";"22B1";;;;
"commerçant de tissus, tapis, moquettes";"MARCHAND DE TAPIS";"22B1";;;;
"commerçant en accessoires automobiles";"MARCHAND DE PIECES DETACHEES";"22B1";;;;
"commerçant en ameublement, décoration";"COMMERCANT";"22B1";;;;
"commerçant en animalerie";"COMMERCANT ANIMALIER";"22B1";;;;
"commerçant en arts de la table";"COMMERCANT";"22B1";;;;
"commerçant en bricolage";"COMMERCANT";"22B1";;;;
"commerçant en droguerie, bazar, quincaillerie";"COMMERCANT";"22B1";;;;
"commerçant en électroménager";"COMMERCANT";"22B1";;;;
"commerçant en image et son (télé, radio, hi-fi)";"COMMERCANT";"22B1";;;;
"commerçant en jardinerie";"COMMERCANT";"22B1";;;;
"commerçant en literie";"COMMERCANT";"22B1";;;;
"commerçant en papiers peints, peinture";"COMMERCANT";"22B1";;;;
"commerçant en plomberie, équipement sanitaires";"COMMERCANT";"22B1";;;;
"commerçant en vannerie, sparterie";"COMMERCANT";"22B1";;;;
"droguiste";"DROGUISTE";"22B1";;;;
"gérant de commerce de biens pour le foyer";"COMMERCANT";"22B1";;;;
"gérant de commerce en ameublement, décoration";"COMMERCANT";"22B1";;;;
"gérant de commerce en droguerie, bazar, quincaillerie";"COMMERCANT";"22B1";;;;
"gérant de commerce en électroménager";"COMMERCANT";"22B1";;;;
"grainetier";"GRAINETIER";"22B1";;;;
"marchand de couleurs";"COMMERCANT";"22B1";;;;
"oiselier";"COMMERCANT";"22B1";;;;
"pacotilleur";"COMMERCANT";"22B1";;;;
"quincaillier";"QUINCAILLIER";"22B1";;;;
"shipchandler";"COMMERCANT";"22B1";;;;
"antiquaire";"ANTIQUAIRE";"22B2";;;;
"armurier détaillant";"ARMURIER";"22B2";;;;
"bouquiniste";"BOUQUINISTE";"22B2";;;;
"chausseur";"MARCHAND D'ARTICLES VESTIMENTAIRES";"22B2";;;;
"commerçant d'antiquités";"ANTIQUAIRE";"22B2";;;;
"commerçant d'articles de chasse et de pêche";"COMMERCANT";"22B2";;;;
"commerçant d'articles de puériculture";"COMMERCANT";"22B2";;;;
"commerçant d'articles de sport";"COMMERCANT";"22B2";;;;
"commerçant d'articles de voyage";"COMMERCANT";"22B2";;;;
"commerçant d'articles pour bébés";"COMMERCANT";"22B2";;;;
"commerçant d'instruments de musique";"COMMERCANT";"22B2";;;;
"commerçant d'objets d'art";"MARCHAND D'OEUVRES D'ART";"22B2";;;;
"commerçant d'objets de collection (timbre, monnaie, etc)";"MARCHAND D'OEUVRES D'ART";"22B2";;;;
"commerçant de biens culturels";"MARCHAND D'OEUVRES D'ART";"22B2";;;;
"commerçant de biens pour la personne";"COMMERCANT";"22B2";;;;
"commerçant de chaussures";"MARCHAND D'ARTICLES VESTIMENTAIRES";"22B2";;;;
"commerçant de cycles";"MARCHAND DE CYCLES";"22B2";;;;
"commerçant de fleurs";"FLEURISTE";"22B2";;;;
"commerçant de fournitures de bureaux";"COMMERCANT";"22B2";;;;
"commerçant de jeux et jouets";"COMMERCANT";"22B2";;;;
"commerçant de matériels médicaux et paramédicaux";"COMMERCANT";"22B2";;;;
"commerçant de matériels photographiques et d'optique";"COMMERCANT";"22B2";;;;
"commerçant de produits de beauté";"COMMERCANT";"22B2";;;;
"commerçant de vêtements";"MARCHAND D'ARTICLES VESTIMENTAIRES";"22B2";;;;
"commerçant en articles de papeterie";"COMMERCANT";"22B2";;;;
