"unite_id","unite_cu","unite_nom","unite_adresse","unite_mail_actif","unite_tph","unite_dpt","unite_zpn","unite_cu_sup","mail_departement_actif","unite_id_anonym","horaire_ouverture","latitude_wgs84","longitude_wgs84"
"7234","5215","Brigade territoriale autonome de Vigny","50 Rue Beaudouin 95450 VIGNY","bta.vigny@gendarmerie.interieur.gouv.fr","01 34 67 89 89","95","1","aucun","corg.ggd95@gendarmerie.interieur.gouv.fr","1003399","$Lundi : 8h00-12h00 14h00-19h00$Mardi : 8h00-12h00 14h00-19h00$Mercredi : 8h00-12h00 14h00-19h00$Jeudi : 8h00-12h00 14h00-19h00$Vendredi : 8h00-12h00 14h00-19h00$Samedi : 8h00-12h00 14h00-19h00$Dimanche : 9h00-12h00 15h00-18h00$Jours Fériés : 9h00-12h00 15h00-18h00","49.07888","1.92203"
"7232","5192","Brigade de proximité de Gif-sur-Yvette","16 Rue Raoul Dautry 91190 GIF SUR YVETTE","cob.gif-sur-yvette@gendarmerie.interieur.gouv.fr","01 69 07 76 41","91","1","aucun","corg.ggd91@gendarmerie.interieur.gouv.fr","1003345","$Lundi : 9h00-12h00 14h00-19h00$Mardi : 9h00-12h00 14h00-19h00$Mercredi : 9h00-12h00 14h00-19h00$Jeudi : 9h00-12h00 14h00-19h00$Vendredi : 9h00-12h00 14h00-19h00$Samedi : 9h00-12h00 14h00-19h00$Dimanche : 9h00-12h00 15h00-18h00$Jours Fériés : 9h00-12h00 15h00-18h00","48.6993","2.13719"
"7233","13555","Brigade territoriale autonome de Méry-sur-Oise","4 Avenue Marcel Perrin 95540 MERY SUR OISE","bta.mery-sur-oise@gendarmerie.interieur.gouv.fr","01 30 36 06 00","95","1","aucun","corg.ggd95@gendarmerie.interieur.gouv.fr","1003398","$Lundi : 8h00-12h00 15h00-19h00$Mardi : 8h00-12h00 15h00-19h00$Mercredi : 8h00-12h00 15h00-19h00$Jeudi : 8h00-12h00 15h00-19h00$Vendredi : 8h00-12h00 15h00-19h00$Samedi : 8h00-12h00 15h00-19h00$Dimanche : 9h00-12h00 15h00-18h00$Jours Fériés : 9h00-12h00 15h00-18h00","49.06657","2.18172"
"82","319","Brigade de proximité d'Heuchin","Rue Planque-Saint-Jean 62134 HEUCHIN","cob.st-pol-sur-ternoise@gendarmerie.interieur.gouv.fr","03 21 04 62 17","62","1","aucun","corg.ggd62@gendarmerie.interieur.gouv.fr","1013677","$Mardi : 9h00-12h00 14h00-18h00","50.47391","2.27006"
"7230","7038","Brigade de proximité d'Aléria","50 Cours Charles-Jean Sarocchi 20270 ALERIA","cob.aleria@gendarmerie.interieur.gouv.fr","04 95 57 00 17","2B","1","aucun","corg.ggd2b@gendarmerie.interieur.gouv.fr","1011287","$Lundi : 8h00-12h00 14h00-18h00$Mardi : 8h00-12h00 14h00-18h00$Mercredi : 8h00-12h00 14h00-18h00$Jeudi : 8h00-12h00 14h00-18h00$Vendredi : 8h00-12h00 14h00-18h00$Samedi : 8h00-12h00 14h00-18h00$Dimanche : 9h00-12h00 15h00-18h00$Jours Fériés : 9h00-12h00 15h00-18h00","42.1149","9.51286"
"7231","5121","Brigade territoriale autonome d'Ecquevilly","21 Rue Bel-Air 78920 ECQUEVILLY","bta.ecquevilly@gendarmerie.interieur.gouv.fr","01 34 75 50 04","78","1","aucun","corg.ggd78@gendarmerie.interieur.gouv.fr","1003277","$Lundi : 8h00-12h00 14h00-19h00$Mardi : 8h00-12h00 14h00-19h00$Mercredi : 8h00-12h00 14h00-19h00$Jeudi : 8h00-12h00 14h00-19h00$Vendredi : 8h00-12h00 14h00-19h00$Samedi : 8h00-12h00 14h00-19h00$Dimanche : 9h00-12h00 15h00-18h00$Jours Fériés : 9h00-12h00 15h00-18h00","48.95293","1.91801"
"6071","6942","Brigade territoriale autonome de Houaïlou","Village Lotissement 14 98816 HOUAILOU","bta.houailou@gendarmerie.interieur.gouv.fr","+687 44 87 90","988","1","aucun","corg.boe.comgendnc@gendarmerie.interieur.gouv.fr","1002558","$Lundi : 7h30-11h30 13h30-17h30$Mardi : 7h30-11h30 13h30-17h30$Mercredi : 7h30-11h30 13h30-17h30$Jeudi : 7h30-11h30 13h30-17h30$Vendredi : 7h30-11h30 13h30-17h30$Samedi : 7h30-11h30 13h30-17h30$Dimanche : 9h00-12h00 15h00-18h00$Jours Fériés : 9h00-12h00 15h00-18h00","-21.277273","165.62808"
"6072","6940","Brigade territoriale autonome de Poindimié","Village 68 Voie Urbaine 13 98822 POINDIMIE","bta.poindimie@gendarmerie.interieur.gouv.fr","+687 47 89 00","988","1","aucun","corg.boe.comgendnc@gendarmerie.interieur.gouv.fr","1002556","$Lundi : 7h30-11h30 13h30-17h30$Mardi : 7h30-11h30 13h30-17h30$Mercredi : 7h30-11h30 13h30-17h30$Jeudi : 7h30-11h30 13h30-17h30$Vendredi : 7h30-11h30 13h30-17h30$Samedi : 7h30-11h30 13h30-17h30$Dimanche : 9h00-12h00 14h30-17h30$Jours Fériés : 9h00-12h00 14h30-17h30","-20.9362","165.33118"
"4210","4826","Brigade territoriale autonome de Canet-en-Roussillon","1 Voie Florence Arthaud 66140 CANET EN ROUSSILLON","bta.canet-en-roussillon@gendarmerie.interieur.gouv.fr","04 68 80 21 07","66","1","aucun","corg.ggd66@gendarmerie.interieur.gouv.fr","1011039","$Lundi : 8h00-12h00 14h00-18h00$Mardi : 8h00-12h00 14h00-18h00$Mercredi : 8h00-12h00 14h00-18h00$Jeudi : 8h00-12h00 14h00-18h00$Vendredi : 8h00-12h00 14h00-18h00$Samedi : 8h00-12h00 14h00-18h00$Dimanche : 9h00-12h00 15h00-18h00$Jours Fériés : 9h00-12h00 15h00-18h00","42.70194","3.02965"
"7224","4828","Brigade de proximité de Latour-de-France","11 Rue Joseph Mouné 66720 LATOUR DE FRANCE","cob.latour-de-france@gendarmerie.interieur.gouv.fr","04 68 29 12 73","66","1","aucun","corg.ggd66@gendarmerie.interieur.gouv.fr","1011091","$Lundi : 8h00-12h00 14h00-18h00$Mercredi : 8h00-12h00 14h00-18h00$Vendredi : 8h00-12h00 14h00-18h00$Dimanche : 9h00-12h00","42.76567","2.65159"
"7225","4833","Brigade de proximité de Saint-Paul-de-Fenouillet","11 Chemin de la Boulzane 66220 ST PAUL DE FENOUILLET","cob.latour-de-france@gendarmerie.interieur.gouv.fr","04 68 59 00 11","66","1","aucun","corg.ggd66@gendarmerie.interieur.gouv.fr","1011092","$Mardi : 8h00-12h00 14h00-18h00$Jeudi : 8h00-12h00 14h00-18h00$Samedi : 8h00-12h00 14h00-18h00$Dimanche : 15h00-18h00","42.80763","2.49881"
"7226","4899","Brigade territoriale autonome de Porto-Vecchio","Caserne Graziani Rue du Général Colona-d'Istria 20137 PORTO VECCHIO","bta.porto-vecchio@gendarmerie.interieur.gouv.fr","04 95 70 00 17","2A","1","aucun","cog.ggd2a@gendarmerie.interieur.gouv.fr","1011199","$Lundi : 8h00-12h00 14h00-18h00$Mardi : 8h00-12h00 14h00-18h00$Mercredi : 8h00-12h00 14h00-18h00$Jeudi : 8h00-12h00 14h00-18h00$Vendredi : 8h00-12h00 14h00-18h00$Samedi : 8h00-12h00 14h00-18h00$Dimanche : 9h00-12h00 15h00-18h00$Jours Fériés : 9h00-12h00 15h00-18h00","41.58867","9.27426"
"4622","3825","Brigade de proximité de Saint-Seine-l'Abbaye","1 Rue Carnot 21440 ST SEINE L ABBAYE","cob.messigny-et-vantoux@gendarmerie.interieur.gouv.fr","03 80 35 04 74","21","1","aucun","cog.ggd21@gendarmerie.interieur.gouv.fr","1012690","$Lundi : 8h00-12h00$Jeudi : 8h00-12h00$Vendredi : 14h00-18h00","47.44143","4.78583"
"103","369","Brigade territoriale autonome de Saint-Valery-sur-Somme","766 Route de Ribeauvillé 80230 ST VALERY SUR SOMME","bta.st-valery-sur-somme@gendarmerie.interieur.gouv.fr","03 22 60 12 17","80","1","aucun","corg.ggd80@gendarmerie.interieur.gouv.fr","1013872","$Lundi : 8h00-12h00 14h00-19h00$Mardi : 8h00-12h00 14h00-19h00$Mercredi : 8h00-12h00 14h00-19h00$Jeudi : 8h00-12h00 14h00-19h00$Vendredi : 8h00-12h00 14h00-19h00$Samedi : 8h00-12h00 14h00-19h00$Dimanche : 9h00-12h00 15h00-18h00$Jours Fériés : 9h00-12h00 15h00-18h00","50.17412","1.62781"
"5324","4734","Brigade territoriale autonome de Saint-Gilles (30)","19 Rue des Muscats 30800 ST GILLES","bta.st-gilles30@gendarmerie.interieur.gouv.fr","04 66 87 10 00","30","1","aucun","corg.ggd30@gendarmerie.interieur.gouv.fr","1010871","$Lundi : 8h00-12h00 14h00-19h00$Mardi : 8h00-12h00 14h00-19h00$Mercredi : 8h00-12h00 14h00-19h00$Jeudi : 8h00-12h00 14h00-19h00$Vendredi : 8h00-12h00 14h00-19h00$Samedi : 8h00-12h00 14h00-19h00$Dimanche : 9h00-12h00 15h00-19h00$Jours Fériés : 9h00-12h00 15h00-19h00","43.67708","4.41764"
